run_id,sim_time,event_type,actor_type,actor_id,u,v,segment_id,occupancy,rho_max,length_m
20260610_175521_48753422,80767.40413252245,exit,car,1562,46422244,4212537840,46422244->4212537840,0.5711918617863896,83.80162291466985,628.5121718600238
20260610_175521_48753422,80767.40413252245,enter,car,1562,4212537840,4212537844,4212537840->4212537844,1.0392181140333696,5.753831284238487,43.15373463178865
20260610_175521_48753422,80770.53252453591,exit,car,1562,4212537840,4212537844,4212537840->4212537844,0.03921811403336953,5.753831284238487,43.15373463178865
20260610_175521_48753422,80770.53252453591,enter,car,1562,4212537844,46430646,4212537844->46430646,1.1627757937356318,23.88142513726994,179.11068852952454
20260610_175521_48753422,80771.25855614101,exit_return,bus,2,46445656,46458576,46445656->46458576,0.4818830669037157,42.41928405842568,318.1446304381926
20260610_175521_48753422,80771.25855614101,enter_return,bus,2,46458576,46483655,46458576->46483655,4.08934261466276,95.89283579777823,719.1962684833368
20260610_175521_48753422,80772.99773910856,exit,car,1558,46431391,46445656,46431391->46445656,2.2169179061302087,107.12305511709587,803.422913378219
20260610_175521_48753422,80780.59678503333,exit,car,1566,2382668192,46422244,2382668192->46422244,0.34014313987726585,49.90362967682891,374.27722257621684
20260610_175521_48753422,80780.59678503333,enter,car,1566,46422244,4212537840,46422244->4212537840,1.5711918617863896,83.80162291466985,628.5121718600238
20260610_175521_48753422,80783.51699626938,exit,car,1562,4212537844,46430646,4212537844->46430646,0.1627757937356319,23.88142513726994,179.11068852952454
20260610_175521_48753422,80783.51699626938,enter,car,1562,46430646,46431391,46430646->46431391,1.0200572017199405,2.942664571587507,22.0699842869063
20260610_175521_48753422,80785.11694035694,exit,car,1562,46430646,46431391,46430646->46431391,0.020057201719940448,2.942664571587507,22.0699842869063
20260610_175521_48753422,80785.11694035694,enter,car,1562,46431391,46445656,46431391->46445656,3.2169179061302087,107.12305511709587,803.422913378219
20260610_175521_48753422,80787.70077121479,enter,car,1573,46354890,46359275,46354890->46359275,1.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80795.1073892815,enter,car,1575,46354890,46359275,46354890->46359275,2.497040559377404,46.670475058911165,175.01428147091687
20260610_175521_48753422,80795.66119236624,exit,car,1573,46354890,46359275,46354890->46359275,1.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80795.66119236624,enter,car,1573,46359275,46365929,46359275->46365929,1.5983369667700602,28.090937407045082,210.6820305528381
20260610_175521_48753422,80797.63125321265,exit,car,1570,46391963,46409450,46391963->46409450,0.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80797.63125321265,enter,car,1570,46409450,46445656,46409450->46445656,4.380689190859776,121.53954144892403,911.5465608669302
20260610_175521_48753422,80798.99481141703,enter,car,1576,46354890,46359275,46354890->46359275,2.497040559377404,46.670475058911165,175.01428147091687
20260610_175521_48753422,80803.24402951481,exit,car,1575,46354890,46359275,46354890->46359275,1.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80803.24402951481,enter,car,1575,46359275,46365929,46359275->46365929,2.59833696677006,28.090937407045082,210.6820305528381
20260610_175521_48753422,80805.15061491814,exit,car,1565,46431391,46445656,46431391->46445656,2.2169179061302087,107.12305511709587,803.422913378219
20260610_175521_48753422,80805.34821737379,exit,car,1573,46359275,46365929,46359275->46365929,1.5983369667700602,28.090937407045082,210.6820305528381
20260610_175521_48753422,80805.34821737379,enter,car,1573,46365929,46366196,46365929->46366196,1.032765627334384,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80805.87869011574,exit,car,1573,46365929,46366196,46365929->46366196,0.03276562733438391,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80805.87869011574,enter,car,1573,46366196,2384634607,46366196->2384634607,1.0486965654585652,2.286223730449071,17.146677978368032
20260610_175521_48753422,80806.66708340176,exit,car,1573,46366196,2384634607,46366196->2384634607,0.048696565458565204,2.286223730449071,17.146677978368032
20260610_175521_48753422,80806.66708340176,enter,car,1573,2384634607,46367537,2384634607->46367537,1.0494404781295823,2.32114920796161,17.408619059712073
20260610_175521_48753422,80807.13145165033,exit,car,1576,46354890,46359275,46354890->46359275,0.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80807.13145165033,enter,car,1576,46359275,46365929,46359275->46365929,2.59833696677006,28.090937407045082,210.6820305528381
20260610_175521_48753422,80807.46752057115,exit,car,1573,2384634607,46367537,2384634607->46367537,0.04944047812958227,2.32114920796161,17.408619059712073
20260610_175521_48753422,80807.46752057115,enter,car,1573,46367537,5155698570,46367537->5155698570,1.0504263134524379,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80808.28391833125,exit,car,1573,46367537,5155698570,46367537->5155698570,0.05042631345243789,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80808.28391833125,enter,car,1573,5155698570,2384634611,5155698570->2384634611,1.0385730230085675,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80808.90841231917,exit,car,1573,5155698570,2384634611,5155698570->2384634611,0.03857302300856755,1.8109400473505892,13.58205035512942
