run_id,sim_time,queue_name,location,length,event_type,actor_type,actor_id
20260611_171703_102cf35c,65460,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65460,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65460,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65460,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65460,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65460,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65460,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65520,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65520,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65520,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65520,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65520,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65520,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65520,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65520,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65520,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65580,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65580,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65580,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65580,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65580,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65580,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65580,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65580,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65580,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65640,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65640,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65640,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65640,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65640,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65640,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65640,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65640,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65640,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65700,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65700,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65700,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65700,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65700,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65700,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65700,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65700,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65700,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65760,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65760,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65760,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65760,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65760,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65760,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65760,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65760,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65760,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65820,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65820,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65820,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65820,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65820,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65820,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65820,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65820,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65820,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65880,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65880,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65880,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65880,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65880,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65880,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65880,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65880,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65880,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65940,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,65940,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,65940,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,65940,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,65940,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,65940,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,65940,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,65940,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,65940,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66000,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66000,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66000,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66000,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66000,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66000,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66000,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66000,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66000,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66060,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66060,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66060,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66060,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66060,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66060,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66060,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66060,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66060,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66120,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66120,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66120,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66120,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66120,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66120,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66120,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66120,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66120,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66180,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66180,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66180,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66180,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66180,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66180,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66180,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66180,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66180,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66240,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66240,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66240,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66240,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66240,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66240,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66240,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66240,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66240,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66285.78266942938,car_queue_46354890,Node1,1,enqueue,visitor,1
20260611_171703_102cf35c,66285.78266942938,car_queue_46354890,46354890,0,dequeue,visitor,1
20260611_171703_102cf35c,66294.00913693444,car_queue_46354890,Node1,1,enqueue,visitor,3
20260611_171703_102cf35c,66294.00913693444,car_queue_46354890,46354890,0,dequeue,visitor,3
20260611_171703_102cf35c,66296.04112164475,car_queue_3611512307,Node5,1,enqueue,visitor,4
20260611_171703_102cf35c,66296.04112164475,car_queue_3611512307,3611512307,0,dequeue,visitor,4
20260611_171703_102cf35c,66300,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66300,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66300,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66300,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66300,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66300,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66300,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66300,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66300,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66300.87540835136,car_queue_3611512307,Node5,1,enqueue,visitor,5
20260611_171703_102cf35c,66300.87540835136,car_queue_3611512307,3611512307,0,dequeue,visitor,5
20260611_171703_102cf35c,66301.56941618932,car_queue_46354890,Node1,1,enqueue,visitor,6
20260611_171703_102cf35c,66301.56941618932,car_queue_46354890,46354890,0,dequeue,visitor,6
20260611_171703_102cf35c,66321.93714651011,car_queue_46354890,Node1,1,enqueue,visitor,7
20260611_171703_102cf35c,66321.93714651011,car_queue_46354890,46354890,0,dequeue,visitor,7
20260611_171703_102cf35c,66325.31264720965,car_queue_3611512307,Node5,1,enqueue,visitor,8
20260611_171703_102cf35c,66325.31264720965,car_queue_3611512307,3611512307,0,dequeue,visitor,8
20260611_171703_102cf35c,66325.66684497058,car_queue_46354890,Node1,1,enqueue,visitor,9
20260611_171703_102cf35c,66325.66684497058,car_queue_46354890,46354890,0,dequeue,visitor,9
20260611_171703_102cf35c,66327.83994440238,car_queue_46354890,Node1,1,enqueue,visitor,11
