run_id,visitor_id,mode,start_node_name,start_node,depart_time,arrival_time,completed,final_state
20260610_175521_48753422,2326,car,Node1,46354890,70883.30674040862,71396.07939164263,True,scanned
20260610_175521_48753422,2327,shuttle,Bus_start,46477307,70886.24964621416,73825.67421942866,True,scanned
20260610_175521_48753422,2328,shuttle,Bus_start,46477307,70887.74953494334,73827.67421942866,True,scanned
20260610_175521_48753422,2329,car,Node5,3611512307,70889.19281854818,71461.05333567927,True,scanned
20260610_175521_48753422,2330,shuttle,Bus_start,46477307,70890.71691535888,73829.67421942866,True,scanned
20260610_175521_48753422,2331,car,Node1,46354890,70893.81012519845,71411.02298279028,True,scanned
20260610_175521_48753422,2332,car,Node5,3611512307,70896.62387388072,71461.05333567927,True,scanned
20260610_175521_48753422,2333,car,Node5,3611512307,70896.8204990568,71461.05333567927,True,scanned
20260610_175521_48753422,2334,car,Node1,46354890,70896.88750456866,71411.02298279028,True,scanned
20260610_175521_48753422,2335,shuttle,Bus_start,46477307,70897.48541761714,73831.67421942866,True,scanned
20260610_175521_48753422,2336,car,Node1,46354890,70897.54163215758,71415.74449059503,True,scanned
20260610_175521_48753422,2337,shuttle,Bus_start,46477307,70898.38201882606,73833.67421942866,True,scanned
20260610_175521_48753422,2338,car,Node1,46354890,70899.30055255844,71415.74449059503,True,scanned
20260610_175521_48753422,2339,car,Node1,46354890,70902.32525789338,71424.41197883735,True,scanned
20260610_175521_48753422,2340,car,Node1,46354890,70908.09173012897,71424.41197883735,True,scanned
20260610_175521_48753422,2341,car,Node1,46354890,70908.43307456424,71424.41197883735,True,scanned
20260610_175521_48753422,2342,shuttle,Bus_start,46477307,70914.68917907053,73835.67421942866,True,scanned
20260610_175521_48753422,2343,car,Node1,46354890,70919.42014904274,71442.14120357184,True,scanned
20260610_175521_48753422,2344,car,Node1,46354890,70920.0197097133,71442.14120357184,True,scanned
20260610_175521_48753422,2345,shuttle,Bus_start,46477307,70923.80413371499,73837.67421942866,True,scanned
20260610_175521_48753422,2346,car,Node5,3611512307,70927.01780097907,71516.70236130325,True,scanned
20260610_175521_48753422,2347,car,Node1,46354890,70930.22461515141,71442.14120357184,True,scanned
20260610_175521_48753422,2348,car,Node5,3611512307,70933.63292877028,71518.70236130325,True,scanned
20260610_175521_48753422,2349,shuttle,Bus_start,46477307,70941.68553721365,73839.67421942866,True,scanned
20260610_175521_48753422,2350,car,Node5,3611512307,70943.0557047373,71520.70236130325,True,scanned
20260610_175521_48753422,2351,car,Node1,46354890,70945.43578745177,71466.16359326549,True,scanned
20260610_175521_48753422,2352,shuttle,Bus_start,46477307,70947.05131439585,73842.67421942866,True,scanned
20260610_175521_48753422,2353,shuttle,Bus_start,46477307,70947.16819572196,73850.67421942866,True,scanned
20260610_175521_48753422,2354,shuttle,Bus_start,46477307,70947.30212320179,73852.67421942866,True,scanned
20260610_175521_48753422,2355,shuttle,Bus_start,46477307,70951.84153088517,73853.39437521779,True,scanned
20260610_175521_48753422,2356,shuttle,Bus_start,46477307,70956.35365444949,73853.67421942866,True,scanned
20260610_175521_48753422,2357,car,Node1,46354890,70957.31439468649,71466.16359326549,True,scanned
20260610_175521_48753422,2358,car,Node1,46354890,70959.84937437488,71476.82382777354,True,scanned
20260610_175521_48753422,2359,shuttle,Bus_start,46477307,70964.16539460447,73855.67421942866,True,scanned
20260610_175521_48753422,2360,car,Node1,46354890,70964.85947329798,71476.82382777354,True,scanned
20260610_175521_48753422,2361,shuttle,Bus_start,46477307,70967.29113787584,73857.67421942866,True,scanned
20260610_175521_48753422,2362,car,Node5,3611512307,70971.58954165393,71549.70236130325,True,scanned
20260610_175521_48753422,2363,shuttle,Bus_start,46477307,70972.42737480237,73859.67421942866,True,scanned
20260610_175521_48753422,2364,car,Node5,3611512307,70978.57327885203,71551.70236130325,True,scanned
20260610_175521_48753422,2365,car,Node1,46354890,70986.1445704927,71495.70236130325,True,scanned
20260610_175521_48753422,2366,shuttle,Bus_start,46477307,70986.26964280424,73861.67421942866,True,scanned
20260610_175521_48753422,2367,car,Node1,46354890,70986.95728216686,71497.21573884667,True,scanned
20260610_175521_48753422,2368,car,Node1,46354890,70987.17725981427,71501.70236130325,True,scanned
20260610_175521_48753422,2369,car,Node1,46354890,70991.0981015267,71512.70236130325,True,scanned
20260610_175521_48753422,2370,car,Node1,46354890,70999.95597552323,71514.70236130325,True,scanned
20260610_175521_48753422,2371,car,Node4,46493064,71003.85679532084,71625.70236130325,True,scanned
20260610_175521_48753422,2372,shuttle,Bus_start,46477307,71004.31110460726,73866.67421942866,True,scanned
20260610_175521_48753422,2373,car,Node5,3611512307,71009.21594994362,71579.70236130325,True,scanned
20260610_175521_48753422,2374,car,Node1,46354890,71010.81029412946,71544.70236130325,True,scanned
20260610_175521_48753422,2375,car,Node5,3611512307,71017.43264270524,71601.21573884667,True,scanned
20260610_175521_48753422,2376,car,Node1,46354890,71020.23801449724,71546.70236130325,True,scanned
20260610_175521_48753422,2377,car,Node5,3611512307,71024.36519264727,71601.70236130325,True,scanned
20260610_175521_48753422,2378,shuttle,Bus_start,46477307,71025.01189572447,73868.67421942866,True,scanned
20260610_175521_48753422,2379,shuttle,Bus_start,46477307,71025.95336462857,73870.67421942866,True,scanned
20260610_175521_48753422,2380,shuttle,Bus_start,46477307,71027.83990356259,73872.67421942866,True,scanned
20260610_175521_48753422,2381,car,Node5,3611512307,71029.9726966671,71631.70236130325,True,scanned
20260610_175521_48753422,2382,shuttle,Bus_start,46477307,71030.06239470842,73874.67421942866,True,scanned
20260610_175521_48753422,2383,car,Node1,46354890,71032.6671731525,71547.70236130325,True,scanned
20260610_175521_48753422,2384,car,Node1,46354890,71034.18058516503,71555.70236130325,True,scanned
20260610_175521_48753422,2385,car,Node5,3611512307,71038.38414087778,71633.70236130325,True,scanned
20260610_175521_48753422,2386,car,Node1,46354890,71043.24282249068,71564.70236130325,True,scanned
20260610_175521_48753422,2387,car,Node5,3611512307,71047.38834569896,71635.70236130325,True,scanned
20260610_175521_48753422,2388,car,Node5,3611512307,71052.92855914563,71646.70236130325,True,scanned
20260610_175521_48753422,2389,car,Node5,3611512307,71053.17895082121,71648.70236130325,True,scanned
20260610_175521_48753422,2390,shuttle,Bus_start,46477307,71054.40880589673,73876.67421942866,True,scanned
20260610_175521_48753422,2391,shuttle,Bus_start,46477307,71056.44617327329,73878.67421942866,True,scanned
20260610_175521_48753422,2392,shuttle,Bus_start,46477307,71059.53438782512,73879.39437521779,True,scanned
20260610_175521_48753422,2393,car,Node1,46354890,71060.23083850676,71573.70236130325,True,scanned
20260610_175521_48753422,2394,car,Node1,46354890,71062.54707684366,71575.21573884667,True,scanned
20260610_175521_48753422,2395,car,Node1,46354890,71062.69385968748,71583.70236130325,True,scanned
20260610_175521_48753422,2396,shuttle,Bus_start,46477307,71065.81847016262,73879.67421942866,True,scanned
20260610_175521_48753422,2397,car,Node1,46354890,71067.64896710326,71594.70236130325,True,scanned
20260610_175521_48753422,2398,car,Node5,3611512307,71067.72198357366,71670.70236130325,True,scanned
20260610_175521_48753422,2399,car,Node5,3611512307,71068.36943313718,71679.70236130325,True,scanned
20260610_175521_48753422,2400,car,Node1,46354890,71069.07478792715,71596.70236130325,True,scanned
20260610_175521_48753422,2401,car,Node1,46354890,71074.03202061109,71598.70236130325,True,scanned
20260610_175521_48753422,2402,car,Node5,3611512307,71076.27570291012,71690.70236130325,True,scanned
20260610_175521_48753422,2403,car,Node1,46354890,71079.55504662984,71614.21573884667,True,scanned
20260610_175521_48753422,2404,car,Node5,3611512307,71084.03927246275,71692.21573884667,True,scanned
20260610_175521_48753422,2405,shuttle,Bus_start,46477307,71086.28370275119,73881.67421942866,True,scanned
20260610_175521_48753422,2406,car,Node1,46354890,71091.65595530784,71614.70236130325,True,scanned
20260610_175521_48753422,2407,car,Node1,46354890,71093.05856431778,71616.70236130325,True,scanned
20260610_175521_48753422,2408,shuttle,Bus_start,46477307,71094.06150159713,73889.67421942866,True,scanned
20260610_175521_48753422,2409,car,Node5,3611512307,71094.36193585629,71692.70236130325,True,scanned
20260610_175521_48753422,2410,car,Node5,3611512307,71103.14341233698,71698.70236130325,True,scanned
20260610_175521_48753422,2411,car,Node4,46493064,71104.53981556115,71788.29707468142,True,scanned
20260610_175521_48753422,2412,shuttle,Bus_start,46477307,71107.78349438863,73892.67421942866,True,scanned
20260610_175521_48753422,2413,car,Node1,46354890,71108.4779248573,71640.21573884667,True,scanned
20260610_175521_48753422,2414,car,Node5,3611512307,71111.13688201824,71700.70236130325,True,scanned
20260610_175521_48753422,2415,car,Node1,46354890,71112.49966180263,71640.70236130325,True,scanned
20260610_175521_48753422,2416,car,Node1,46354890,71113.45193441973,71651.70236130325,True,scanned
20260610_175521_48753422,2417,shuttle,Bus_start,46477307,71113.86158840141,73894.67421942866,True,scanned
20260610_175521_48753422,2418,car,Node1,46354890,71115.27371203761,71653.21573884667,True,scanned
20260610_175521_48753422,2419,car,Node1,46354890,71117.5870753545,71664.70236130325,True,scanned
20260610_175521_48753422,2420,car,Node5,3611512307,71119.46602897161,71702.70236130325,True,scanned
20260610_175521_48753422,2421,shuttle,Bus_start,46477307,71121.2565410212,73896.67421942866,True,scanned
20260610_175521_48753422,2422,shuttle,Bus_start,46477307,71122.99495918778,73904.67421942866,True,scanned
20260610_175521_48753422,2423,car,Node1,46354890,71126.2815535699,71666.21573884667,True,scanned
20260610_175521_48753422,2424,car,Node2,46336597,71126.51868640014,71687.70236130325,True,scanned
20260610_175521_48753422,2425,shuttle,Bus_start,46477307,71127.05463093621,73905.39437521779,True,scanned
20260610_175521_48753422,2426,car,Node1,46354890,71128.1818572224,71666.70236130325,True,scanned
20260610_175521_48753422,2427,shuttle,Bus_start,46477307,71128.26183445308,73905.67421942866,True,scanned
20260610_175521_48753422,2428,car,Node1,46354890,71131.16495995923,71676.70236130325,True,scanned
20260610_175521_48753422,2429,car,Node5,3611512307,71133.82698400467,71709.4075243413,True,scanned
20260610_175521_48753422,2430,car,Node1,46354890,71135.04347204449,71683.70236130325,True,scanned
20260610_175521_48753422,2431,car,Node1,46354890,71136.83528253392,71685.70236130325,True,scanned
20260610_175521_48753422,2432,car,Node5,3611512307,71139.46178043445,71709.70236130325,True,scanned
20260610_175521_48753422,2433,car,Node4,46493064,71139.7016439082,71788.29707468142,True,scanned
20260610_175521_48753422,2434,car,Node5,3611512307,71146.04131016076,71722.01331165881,True,scanned
20260610_175521_48753422,2435,car,Node1,46354890,71150.81867814135,71689.70236130325,True,scanned
20260610_175521_48753422,2436,car,Node5,3611512307,71151.31457194852,71722.01331165881,True,scanned
20260610_175521_48753422,2437,car,Node5,3611512307,71155.4164685648,71732.01331165881,True,scanned
20260610_175521_48753422,2438,car,Node1,46354890,71158.9988330858,71694.70236130325,True,scanned
20260610_175521_48753422,2439,shuttle,Bus_start,46477307,71163.89816437526,73907.67421942866,True,scanned
20260610_175521_48753422,2440,car,Node1,46354890,71169.74478863925,71696.70236130325,True,scanned
20260610_175521_48753422,2441,shuttle,Bus_start,46477307,71173.61473955805,73909.67421942866,True,scanned
20260610_175521_48753422,2442,shuttle,Bus_start,46477307,71173.81384722909,73911.67421942866,True,scanned
